
17:35:26 CI  11: df 14 19 0a c4 15 23 94 82 cf a2
17:35:26 CI  11: df 14 19 0a c4 15 23 95 82 cf a3
17:35:26 CI  11: df 14 19 0a c4 15 23 95 82 cf a4
17:35:27 CI  11: df 14 19 0a c4 15 23 95 82 cf a5
17:35:27 CI  11: df 14 19 0a c4 15 23 96 82 cf a6
17:35:28 CI  11: df 14 19 0a c4 15 23 96 82 cf a7
17:35:28 CI  11: df 14 19 0a c4 15 23 97 82 cf a8
17:35:29 CI  11: df 14 19 0a c4 15 23 97 82 cf a9
17:35:29 CI  11: df 14 19 0a c4 15 23 98 82 cf aa
17:35:29 CI  11: df 14 19 0a c4 15 23 98 82 cf ab
17:35:30 CI  11: df 14 19 0a c4 15 23 99 82 cf ac
17:35:30 CI  11: df 14 19 0a c4 15 23 99 82 cf ad
17:35:31 CI  11: df 14 19 0a c4 15 23 99 82 cf ae
17:35:31 CI  11: df 14 19 0a c4 15 23 9a 82 cf af
17:35:32 CI  11: df 14 19 0a c4 15 23 9a 82 cf b0
17:35:32 CI  11: df 14 19 0a c4 15 23 9b 82 cf b1
17:35:32 CI  11: df 14 19 0a c4 15 23 9b 82 cf b2
17:35:33 CI  11: df 14 19 0a c4 15 23 9c 82 cf b3
17:35:33 CI  11: df 14 19 0a c4 15 23 9c 82 cf b4
17:35:34 CI  11: df 14 19 0a c4 15 23 9c 82 cf b5
17:35:34 CI  11: df 14 19 0a c4 15 23 9d 82 cf b6
17:35:35 CI  11: df 14 19 0a c4 15 23 9d 82 cf b7
17:35:35 CI  11: df 14 19 0a c4 15 23 9e 82 cf b8
17:35:35 CI  11: df 14 19 0a c4 15 23 9e 82 cf b9
17:35:36 CI  11: df 14 19 0a c4 15 23 9f 82 cf ba
17:35:36 CI  11: df 14 19 0a c4 15 23 9f 82 cf bb
17:35:37 CI  11: df 14 19 0a c4 15 23 9f 82 cf bc
17:35:37 CI  11: df 14 19 0a c4 15 23 a0 82 cf bd
17:35:38 CI  11: df 14 19 0a c4 15 23 a0 82 cf be
17:35:38 CI  11: df 14 19 0a c4 15 23 a1 82 cf bf
17:35:38 CI  11: df 14 19 0a c4 15 23 a1 82 cf c0
17:35:39 CI  11: df 14 19 0a c4 15 23 a2 82 cf c1
17:35:39 CI  11: df 14 19 0a c4 15 23 a2 82 cf c2
17:35:40 CI  11: df 14 19 0a c4 15 23 a2 82 cf c3
17:35:40 CI  11: df 14 19 0a c4 15 23 a3 82 cf c4
17:35:41 CI  11: df 14 19 0a c4 15 23 a3 82 cf c5
17:35:41 CI  11: df 14 19 0a c4 15 23 a4 82 cf c6
17:35:42 CI  11: df 14 19 0a c4 15 23 a4 82 cf c7
17:35:42 CI  11: df 14 19 0a c4 15 23 a5 82 cf c8
17:35:42 CI  11: df 14 19 0a c4 15 23 a5 82 cf c9
17:35:43 CI  11: df 14 19 0a c4 15 23 a5 82 cf ca
17:35:43 CI  11: df 14 19 0a c4 15 23 a6 82 cf cb
17:35:44 CI  11: df 14 19 0a c4 15 23 a6 82 cf cc
